Empresa;Filial;Cód. Contrato;Nº Contrato;Ativo;Adm.;Público;ANS/IMR;Crítico;Nível Crit.;Nome Fantasia;UF Cli.;Cód. Cliente;Nome Cliente;Data Início;Data Término;Classif. C. Custo;Consultor;Pregão;Serv. Prestado;Valor Mensal
1;3;60;007/2007 - HGEC;I;N;S;;N;;HOSPITAL GERAL DE CURITIBA;PR;923;HOSPITAL GERAL DE CURITIBA;02/01/2007;31/12/2012;10218001;Michele Klug Mendes;;Limpeza;95464
1;3;61;2004/SG/0018;I;N;S;;N;;CENTRESAF CURITIBA - DRF;PR;368;CENTRO DE TREINAMENTO DA ESAF NO PARANA;16/08/2004;15/09/2009;10234006;;;Limpeza;
1;3;64;2.662.009;I;N;S;;N;;POLÍCIA CIVIL;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/07/2009;31/05/2014;10258023;;033/2009;Limpeza;
1;3;70;1.400.782.006;I;N;S;;N;;DATAPREV - PR;PR;537;DATAPREV - EMPRESA DE TECNOLOGIA E INFORMAÇÃO DA PREVIDENCIA SOCIAL;01/12/2006;28/11/2009;10237003;;;Limpeza;
1;3;71;2007SG0030;I;N;S;;N;;MINISTÉRIO DA FAZENDA DO PARANÁ;PR;6;SAMF/PR - SUPERINTENDÊNCIA D ADMINISTRAÇÃO DO MINISTÉRIO DA FAZENDA NO PARANÁ;10/12/2007;15/06/2012;10234007;;;Recepção;
1;3;468;32.009;I;N;S;;N;;CEASA - CENTRAIS DE ABASTECIMENTO DO ESTADO DO PARANÁ;PR;708;CENTRAIS DE ABASTECIMENTO DO PARANA S/A;01/06/2009;31/05/2015;10244019;;;Limpeza;
1;3;87;12.009;I;N;S;;N;;DEAP - DEPARTAMENTO ESTADUAL DE ARQUIVO PÚBLICO;PR;1001;DEPARTAMENTO ESTADUAL DE ARQUIVO PÚBLICO - DEAP;15/06/2009;14/12/2012;10256002;Anna Paula Mendonca;;Limpeza Copa Jardinagem;0,01
1;3;89;2.532.009;I;N;S;;N;;POLÍCIA CIVIL;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/06/2009;31/05/2015;10258024;;;Limpeza;
1;3;469;PR 01/09;I;N;N;;N;;VANGUARD HOME;PR;979;VANGUARD HOME EMPREENDIMENTOS IMOBILIÁRIOS;18/03/2009;11/11/2010;10210002;;;Limpeza;
1;3;472;172.009;I;N;S;;N;;UNIOESTE -  CAMPUS MARECHAL CÂNDIDO RONDON;PR;1003;UNIVERSIDADE ESTADUAL DO OESTE DO PR;01/06/2009;24/05/2011;10249007;;;Limpeza;
1;3;476;352.009;I;N;S;;N;;UNIOESTE - CAMPUS TOLEDO;PR;1173;UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ;10/08/2009;10/08/2011;10249008;;;Limpeza;
1;3;97;262.009;I;N;S;;N;;IAPAR;PR;774;INST. AGRONOMO DO PARANÁ - IAPAR;01/06/2009;31/10/2013;10244014;;;Limpeza;
1;3;96;252.009;I;N;S;;N;;IAPAR;PR;774;INST. AGRONOMO DO PARANÁ - IAPAR;01/06/2009;30/04/2014;10244015;Liana Souza;;Limpeza;0
1;3;98;200.974.190.840;I;N;S;;N;;BANCO DO BRASIL - LIMPEZA;PR;920;BANCO DO BRASIL;11/03/2009;10/03/2012;10204009;;;Limpeza;
1;3;101;1.062.009;I;N;S;;N;;SEED - SECRETARIA EDUCAÇÃO;PR;776;SECRETARIA DE ESTADO DA EDUCAÇAO PARANA;01/05/2009;30/04/2011;10249003;;;Limpeza;
1;3;418;212.009;I;N;S;;N;;PARANÁ ESPORTES;PR;641;PARANÁ ESPORTES PR.;04/05/2009;05/02/2013;10242001;;;Limpeza Mão de Obra Jardinagem;
1;3;28;200.719.150.751;I;N;S;;N;;BANCO DO BRASIL -MARINGÁ;PR;470;BANCO DO BRASIL S/A;19/03/2007;15/03/2010;10204006;;;Limpeza;
1;3;419;922.009;I;N;S;;N;;SETP - SECRETARIA DO TRABALHO EMPREGO PROMOÇÃO SOCIAL;PR;681;SECRETARIA DE ESTADO, DO TRABALHO EMPREGO E ECONOMIA SOLIDÁRIA;01/06/2009;31/05/2011;10259003;;;Limpeza Conservação Mão de Obra;
1;3;420;862.009;I;N;S;;N;;SEDS - SECRETARIA DE ESTADO DO TRABALHO E DESENVOLVIMENTO SOCIAL;PR;679;SECRETARIA DE ESTADO DA FAMÍLA E DESENVOLVIMENTO SOCIAL;01/06/2009;31/05/2015;10259004;;;Limpeza;
1;3;49;32.009;I;N;S;;N;;SEMA - Secretária do Meio Ambiente - PARANA;PR;477;SECRETARIA DO ESTADO DO MEIO AMBIENTE E RECUSOS HIDRICOS DO PARANÁ;04/05/2009;04/05/2014;10254003;;;Limpeza;
1;3;52;1.962.009;I;N;S;;N;;POLÍCIA CIVIL;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/05/2009;30/04/2015;10258022;;;Limpeza;
1;3;53;12.009;I;N;S;;N;;SEPL - SECRETARIA PLANEJAMENTO;PR;717;SECRETARIA DE ESTADO PLANEJAMENTO E COORD GERAL;04/05/2009;04/11/2012;10256001;;;Limpeza Mão de Obra Copa;
1;3;421;932.009;I;N;S;;N;;SETP - SECRETARIA DO TRABALHO EMPREGO PROMOÇÃO SOCIAL;PR;681;SECRETARIA DE ESTADO, DO TRABALHO EMPREGO E ECONOMIA SOLIDÁRIA;01/07/2009;30/06/2011;10259005;;;Limpeza Conservação Mão de Obra;
1;3;422;42.009;I;N;S;;N;;SECS - SECRETARIA DE ESTADO DA COMUNICAÇÃO SOCIAL;PR;684;SECRETARIA COMUNICAÇÃO SOCIAL PARANA;04/05/2009;03/11/2012;10247001;;;Limpeza Conservação Mão de Obra;
1;3;423;09.0228.0.B;I;N;S;;N;;SEOP - SECRETARIA DE OBRAS PÚBLICAS DO ESTADO DO PARANÁ;PR;692;SECRETARIA DE OBRAS DO ESTADO DO PARANA;01/07/2009;30/06/2011;10255003;Fernanda Maria Francisco;;Limpeza Conservação Mão de Obra;10
1;3;424;09.0229.0.B;I;N;S;;N;;SEOP - SECRETARIA DE OBRAS PÚBLICAS DO ESTADO DO PARANÁ;PR;692;SECRETARIA DE OBRAS DO ESTADO DO PARANA;01/08/2009;31/05/2013;10255005;;;Limpeza;
1;3;425;22.200.942.009;I;N;S;;N;;SESA - SECRETARIA DA SAÚDE;PR;711;SECRETARIA DE ESTADO DA SEGURANCA PUBLICA;01/06/2009;31/07/2013;10257005;;;Limpeza Copa;
1;3;426;22.200.952.009;I;N;S;;N;;SESA - SECRETARIA DA SAÚDE;PR;711;SECRETARIA DE ESTADO DA SEGURANCA PUBLICA;01/09/2009;15/08/2015;10257006;;;Limpeza Copa;
1;3;427;22.200.962.009;I;N;S;;N;;SESA - SECRETARIA DA SAÚDE;PR;711;SECRETARIA DE ESTADO DA SEGURANCA PUBLICA;01/06/2009;30/04/2012;10257007;;;Limpeza Copa;
1;3;428;2.662.009;I;N;S;;N;;IML - INSTITUTO MÉDICO LEGAL;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/06/2009;31/05/2014;10258015;;;Limpeza;
1;3;57;272.009;I;N;S;;N;;IAPAR;PR;774;INST. AGRONOMO DO PARANÁ - IAPAR;01/09/2009;31/10/2013;10244013;Fernanda Maria Francisco;;Limpeza;1
1;3;228;202.005;I;N;S;;N;;AGU - ADVOCACIA GERAL DA UNIÃO;RS;463;ADVOCACIA GERAL DA UNIÃO - UNIDADE REGIONAL DE ATENDIMENTO NO ESTADO DO RIO GRANDE DO SUL;01/06/2005;31/05/2010;10274001;Michele Klug Mendes;;Limpeza;3061
1;3;236;CT 87/2008;I;N;S;;N;;TJ/PR;PR;483;TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ;04/08/2008;30/04/2009;10202036;;;Limpeza;
1;3;243;302.009;I;N;S;;N;;DETRAN - DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANÁ;PR;703;DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANA;04/05/2009;31/05/2012;10258002;;;Limpeza;
